_id,source_id,extracted_specs.title,extracted_specs.url,extracted_specs.brand,extracted_specs.price,extracted_specs.processor_brand,extracted_specs.processor_gen,extracted_specs.processor_model,extracted_specs.graphics_brand,extracted_specs.graphics_cardname,extracted_specs.display_size,extracted_specs.display_resolution,extracted_specs.display_refresh_rate,extracted_specs.ram_size,extracted_specs.ram_speed,extracted_specs.storage,processed_at,extractor_version,extracted_specs.ports,extracted_specs.ports.ethernet,extracted_specs.ports.usb,extracted_specs.ports.hdmi,extracted_specs.ports.thunderbolt,last_modified
676f8ff6780d07e6efcb8217,6769c910bd13fcca5f0dcd3c,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight",https://www.amazon.in/dp/B0DLHG997J,Apple,92990,,,,,,13.6,,,16,,256GB SSD,2024-12-28T05:43:18.813Z,1.0.0,,,,,,
676f8ff6780d07e6efcb8218,6769c92ebd13fcca5f0dcd47,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/dp/B08N5W4NNB,Apple,56990,,,,,,13.3,2560x1600,,8,,256GB SSD,2024-12-28T05:43:18.946Z,1.0.0,,,,,,
676f8ff7780d07e6efcb8219,6769c943bd13fcca5f0dcd67,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight",https://www.amazon.in/dp/B0DLHG942M,Apple,127990,,,,,,,,,16,,256GB SSD,2024-12-28T05:43:19.001Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821a,6769c94dbd13fcca5f0dcd6d,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",https://www.amazon.in/dp/B0DLHFM2XL,Apple,94990,,,,,,13.6,,,16,,256GB SSD,2024-12-28T05:43:19.061Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821b,6769c958bd13fcca5f0dcd76,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",https://www.amazon.in/dp/B0DLHXVCXJ,Apple,162990,,,,,,,,,16,,512GB SSD,2024-12-28T05:43:19.118Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821c,6769c965bd13fcca5f0dcd7c,"Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",https://www.amazon.in/dp/B0CX21J15D,Apple,134900,,,,,,,,,16,,512GB SSD,2024-12-28T05:43:19.197Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821d,6769c972bd13fcca5f0dcd84,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray",https://www.amazon.in/dp/B0DLHGQ17K,Apple,94990,,,,,,13.6,,,16,,256GB SSD,2024-12-28T05:43:19.250Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821e,6769c97dbd13fcca5f0dcd8a,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",https://www.amazon.in/dp/B0CX21P5VQ,Apple,154900,,,,,,,,,16,,512GB SSD,2024-12-28T05:43:19.352Z,1.0.0,,,,,,
676f8ff7780d07e6efcb821f,6769c988bd13fcca5f0dcd90,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Midnight",https://www.amazon.in/dp/B0DLHFS9L6,Apple,143990,,,,,,13,,,24,,,2024-12-28T05:43:19.403Z,1.0.0,,,,,,
676f8ff7780d07e6efcb8220,6769c991bd13fcca5f0dcd96,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",https://www.amazon.in/dp/B0DLHY232V,Apple,127990,,,,,,,,,16,,256GB SSD,2024-12-28T05:43:19.457Z,1.0.0,,,,,,
