_id,source_id,url,title,pricing.current_price,pricing.mrp,pricing.discount_percentage,specifications.brand,specifications.model,specifications.series,specifications.processor.brand,specifications.processor.generation,specifications.processor.series,specifications.processor.model,specifications.graphics.brand,specifications.graphics.series,specifications.graphics.model,specifications.graphics.variant,specifications.graphics.source,specifications.graphics.confidence,specifications.memory.ram_size,specifications.memory.technology,specifications.memory.max_supported,specifications.storage.size,specifications.storage.type,specifications.storage.interface,specifications.display.size,specifications.display.resolution,specifications.operating_system,specifications.battery.life,specifications.battery.cells,specifications.battery.energy_content,specifications.physical.dimensions,specifications.physical.weight,specifications.physical.color,specifications.connectivity.type,specifications.connectivity.usb2_ports,specifications.connectivity.usb3_ports,specifications.included_components,processed_at,parser_version,last_modified,raw_specs.Brand,raw_specs.Manufacturer,raw_specs.Series,raw_specs.Colour,raw_specs.Form Factor,raw_specs.Item Height,raw_specs.Item Width,raw_specs.Standing screen display size,raw_specs.Screen Resolution,raw_specs.Product Dimensions,raw_specs.Batteries,raw_specs.Item model number,raw_specs.Processor Brand,raw_specs.Processor Type,raw_specs.Processor Speed,raw_specs.Processor Count,raw_specs.RAM Size,raw_specs.Memory Technology,raw_specs.Maximum Memory Supported,raw_specs.Hard Drive Size,raw_specs.Hard Disk Description,raw_specs.Hard Drive Interface,raw_specs.Audio Details,raw_specs.Graphics Chipset Brand,raw_specs.Graphics Card Description,raw_specs.Graphics RAM Type,raw_specs.Graphics Card Interface,raw_specs.Connectivity Type,raw_specs.Number of USB 2.0 Ports,raw_specs.Number of USB 3.0 Ports,raw_specs.Voltage,raw_specs.Optical Drive Type,raw_specs.Power Source,raw_specs.Hardware Platform,raw_specs.Operating System,raw_specs.Average Battery Standby Life (in hours),raw_specs.Average Battery Life (in hours),raw_specs.Are Batteries Included,raw_specs.Lithium Battery Energy Content,raw_specs.Number of Lithium Ion Cells,raw_specs.Included Components,raw_specs.Country of Origin,raw_specs.Item Weight,specifications.processor.variant,specifications.processor.source,specifications.processor.confidence,raw_specs.Graphics Card Ram Size,raw_specs.Resolution,raw_specs.Speaker Description,raw_specs.Graphics Coprocessor,raw_specs.Wireless Type,raw_specs.Number of HDMI Ports,raw_specs.Wattage,raw_specs.Memory Clock Speed,raw_specs.Rear Webcam Resolution,raw_specs.Front Webcam Resolution,raw_specs.Computer Memory Type,raw_specs.Package Dimensions,raw_specs.Hard Disk Rotational Speed,raw_specs.Number of Ethernet Ports,raw_specs.Lithium Battery Weight,raw_specs.Processor Socket,raw_specs.Model,raw_specs.Model Name,raw_specs.Model Year,raw_specs.Memory Storage Capacity,raw_specs.Memory Slots Available,raw_specs.Flash Memory Installed Size,raw_specs.Ram Memory Installed Size,raw_specs.RAM memory maximum size,raw_specs.Ram Memory Technology,raw_specs.Processor model number,raw_specs.Hardware Interface,raw_specs.Compatible Devices,raw_specs.Special Features,raw_specs.Chipset Type,raw_specs.Mounting Hardware,raw_specs.Number of items,raw_specs.Software included,raw_specs.Display Technology,raw_specs.Display Type,raw_specs.Audio Output Type,raw_specs.Battery Average Life,raw_specs.Batteries Included,raw_specs.Batteries Required,raw_specs.Battery cell composition,raw_specs.Keyboard Description,raw_specs.Connector Type,raw_specs.Device interface - primary,raw_specs.Device type,raw_specs.Total USB ports,raw_specs.Refresh Rate,specifications.specification_conflicts[0].component,specifications.specification_conflicts[0].field,specifications.specification_conflicts[0].tech_value,specifications.specification_conflicts[0].title_value,specifications.specification_conflicts[0].resolution,raw_specs.Number of Lithium Metal Cells,raw_specs.Cellular technology,raw_specs.Number of Ports,raw_specs.Response Time,raw_specs.Battery Average Life Standby,raw_specs.Supports Bluetooth Technology,raw_specs.Item part number,raw_specs.Colour Screen,raw_specs.Audio Features Description,raw_specs.Microphone format,raw_specs.Video Output,raw_specs.Has audio recording capabilities,raw_specs.Material,raw_specs.Number of Audio-out Ports,raw_specs.Number of Microphone Ports,raw_specs.Imported By,raw_specs.Aspect Ratio,raw_specs.Microphone technology,raw_specs.Notebook Display Technology,raw_specs.Supported Software,raw_specs.Image contrast ratio,raw_specs.OS,raw_specs.GPU,raw_specs.RAM,raw_specs.Wireless communication technologies,raw_specs.Connectivity technologies,raw_specs.Special features,raw_specs.Display technology,raw_specs.Display resolution,raw_specs.Other display features,raw_specs.Other camera features,raw_specs.Form factor,raw_specs.Whats in the box,raw_specs.Data Link Protocol,raw_specs.Card Reader,raw_specs.Controller Type,raw_specs.Screen Size,raw_specs.Number of Batteries,raw_specs.Number of DMI Ports,raw_specs.Battery Charge Cycles
676d80ca496d4a02df06666a,6769c910bd13fcca5f0dcd3c,https://www.amazon.in/dp/B0DLHG997J,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight",92990,99900,7,,,,Apple,M2,Base,None,Apple,,M2,,title,low,16,,,256,SSD,,,,macOS,,,,,,,,,,,2024-12-26T16:14:02.183Z,2.1.0,2024-12-26T23:30:20.869Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df06666b,6769c92ebd13fcca5f0dcd47,https://www.amazon.in/dp/B08N5W4NNB,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",56990,89900,37,Apple,MGN63HN/A,MacBook Air,Apple,M1,Base,None,Apple,,M1,,title,low,8,DDR3,16 GB,256 GB,SSD,eSATA,13,2560 x 1600 pixel,macOS,18,3,49.9 Watt Hours,32.4 x 7.3 x 23.1 cm; 2.08 kg,2,Space Grey,Wi-Fi,4,4,"MacBook Air, USB-C Charge Cable (2 m), 30W USB-C Power Adapter",2024-12-26T16:14:02.294Z,2.1.0,2024-12-27T14:52:28.204Z,Apple,Apple,MacBook Air,Space Grey,Notebook,23.1 Centimeters,7.3 Centimeters,13 Inches,2560 x 1600 pixel,32.4 x 7.3 x 23.1 cm; 2.08 kg,1 Lithium Ion batteries required. (included),MGN63HN/A,Apple,Core M Family,3.1 GHz,8,8 GB,DDR3,16 GB,256 GB,SSD,eSATA,Speakers,Apple,Integrated,DDR3 SDRAM,Integrated,Wi-Fi,4,4,28 Volts,No Optical Drive,Battery Powered,Mac,macOS 10.14 Mojave,18 Hours,18 Hours,Yes,49.9 Watt Hours,3,"MacBook Air, USB-C Charge Cable (2 m), 30W USB-C Power Adapter",China,2 kg 80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df06666c,6769c943bd13fcca5f0dcd67,https://www.amazon.in/dp/B0DLHG942M,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight",127990,134900,5,,,,Apple,M3,Base,None,Apple,,M3,,title,low,16,,,256,SSD,,,,macOS,,,,,,,,,,,2024-12-26T16:14:02.347Z,2.1.0,2024-12-27T14:53:01.251Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df06666d,6769c94dbd13fcca5f0dcd6d,https://www.amazon.in/dp/B0DLHFM2XL,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",94990,99900,5,,,,Apple,M2,Base,None,Apple,,M2,,title,low,16,,,256,SSD,,,,macOS,,,,,,,,,,,2024-12-26T16:14:02.412Z,2.1.0,2024-12-27T15:06:43.423Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df06666e,6769c958bd13fcca5f0dcd76,https://www.amazon.in/dp/B0DLHXVCXJ,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",162990,169900,4,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.478Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df06666f,6769c965bd13fcca5f0dcd7c,https://www.amazon.in/dp/B0CX21J15D,"Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",134900,154900,13,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.556Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df066670,6769c972bd13fcca5f0dcd84,https://www.amazon.in/dp/B0DLHGQ17K,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray",94990,99900,5,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.611Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df066671,6769c97dbd13fcca5f0dcd8a,https://www.amazon.in/dp/B0CX21P5VQ,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",154900,174900,11,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.722Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df066672,6769c988bd13fcca5f0dcd90,https://www.amazon.in/dp/B0DLHFS9L6,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Midnight",143990,154900,7,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.777Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676d80ca496d4a02df066673,6769c991bd13fcca5f0dcd96,https://www.amazon.in/dp/B0DLHY232V,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",127990,134900,5,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,2024-12-26T16:14:02.834Z,2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,title,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
